Season,TeamSource,TeamCanonical,TrueSeed,IsSelected,SourceUrl,SourceType,Verified
2020-21,UC Santa Barbara,UC Santa Barbara,50,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Ohio,Ohio,51,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,North Texas,North Texas,52,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Liberty,Liberty,53,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,UNC Greensboro,UNC Greensboro,54,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Abilene Christian,Abilene Christian,55,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Morehead State,Morehead St.,56,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Colgate,Colgate,57,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Eastern Washington,Eastern Wash.,58,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Grand Canyon,Grand Canyon,59,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Cleveland State,Cleveland St.,60,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Oral Roberts,Oral Roberts,61,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Iona,Iona,62,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Drexel,Drexel,63,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Hartford,Hartford,64,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Mount St. Mary's,Mount St. Mary's,65,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Texas Southern,Texas Southern,66,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Norfolk State,Norfolk St.,67,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Appalachian State,App State,68,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2021-22,Gonzaga,Gonzaga,1,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Arizona,Arizona,2,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Kansas,Kansas,3,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Baylor,Baylor,4,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Auburn,Auburn,5,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Kentucky,Kentucky,6,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Villanova,Villanova,7,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Duke,Duke,8,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Wisconsin,Wisconsin,9,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Tennessee,Tennessee,10,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Purdue,Purdue,11,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Texas Tech,Texas Tech,12,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,UCLA,UCLA,13,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Illinois,Illinois,14,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Providence,Providence,15,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Arkansas,Arkansas,16,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,UConn,UConn,17,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Houston,Houston,18,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Saint Mary's,Saint Mary's (CA),19,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Iowa,Iowa,20,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Alabama,Alabama,21,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,LSU,LSU,22,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Texas,Texas,23,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Colorado State,Colorado St.,24,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,USC,Southern California,25,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Murray State,Murray St.,26,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
2021-22,Michigan State,Michigan St.,27,1,https://www.cbssports.com/college-basketball/news/march-madness-2022-committee-reveals-official-ncaa-tournament-bracket-seed-list-from-1-68/,cbssports_article,True
